
変数情報		
変数	位置	ラベル
	8888	非該当
	9999	無回答
hhnlw12	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	11	１１人
	12	１２人
	9999	無回答
hhlwrp12	0	回答なし
	1	あなた自身
	9999	無回答
hhlwsp12	0	回答なし
	1	あなたの夫・妻（内縁も含む）
	9999	無回答
hhlwch12	0	回答なし
	1	あなたの子ども
	9999	無回答
hhlwfa12	0	回答なし
	1	あなたのお父さん
	9999	無回答
hhlwma12	0	回答なし
	1	あなたのお母さん
	9999	無回答
hhlwfl12	0	回答なし
	1	あなたのお義父さん
	9999	無回答
hhlwml12	0	回答なし
	1	あなたのお義母さん
	9999	無回答
hhlwgp12	0	回答なし
	1	あなたの祖父母
	9999	無回答
hhlwgl12	0	回答なし
	1	配偶者の祖父母
	9999	無回答
hhlwsb12	0	回答なし
	1	あなたの兄姉弟妹
	9999	無回答
hhlwsl12	0	回答なし
	1	配偶者の兄姉弟妹
	9999	無回答
hhlwcs12	0	回答なし
	1	あなたの子どもの夫・妻
	9999	無回答
hhlwgc12	0	回答なし
	1	あなたの孫
	9999	無回答
hhlwo12	0	回答なし
	1	その他
	9999	無回答
rpcasp12	0	回答なし
	1	配偶者
	9999	無回答
rpcapa12	0	回答なし
	1	自分の親
	9999	無回答
rpcasb12	0	回答なし
	1	自分の兄弟姉妹
	9999	無回答
rpcach12	0	回答なし
	1	自分の子ども
	9999	無回答
rpcapl12	0	回答なし
	1	配偶者の親
	9999	無回答
rpcasl12	0	回答なし
	1	配偶者の兄弟姉妹
	9999	無回答
rpcacs12	0	回答なし
	1	子どもの配偶者
	9999	無回答
rpcaor12	0	回答なし
	1	その他の親族
	9999	無回答
rpcafc12	0	回答なし
	1	友人や職場の同僚
	9999	無回答
rpcanb12	0	回答なし
	1	近所（地域）の人
	9999	無回答
rpcast12	0	回答なし
	1	専門家やサービス機関
	9999	無回答
rpcant12	0	回答なし
	1	誰もいない
	9999	無回答
rpcmsp12	0	回答なし
	1	配偶者
	9999	無回答
rpcmpa12	0	回答なし
	1	自分の親
	9999	無回答
rpcmsb12	0	回答なし
	1	自分の兄弟姉妹
	9999	無回答
rpcmch12	0	回答なし
	1	自分の子ども
	9999	無回答
rpcmpl12	0	回答なし
	1	配偶者の親
	9999	無回答
rpcmsl12	0	回答なし
	1	配偶者の兄弟姉妹
	9999	無回答
rpcmcs12	0	回答なし
	1	子どもの配偶者
	9999	無回答
rpcmor12	0	回答なし
	1	その他の親族
	9999	無回答
rpcmfc12	0	回答なし
	1	友人や職場の同僚
	9999	無回答
rpcmnb12	0	回答なし
	1	近所（地域）の人
	9999	無回答
rpcmst12	0	回答なし
	1	専門家やサービス機関
	9999	無回答
rpcmnt12	0	回答なし
	1	誰もいない
	9999	無回答
rpchsp12	0	回答なし
	1	配偶者
	9999	無回答
rpchpa12	0	回答なし
	1	自分の親
	9999	無回答
rpchsb12	0	回答なし
	1	自分の兄弟姉妹
	9999	無回答
rpchch12	0	回答なし
	1	自分の子ども
	9999	無回答
rpchpl12	0	回答なし
	1	配偶者の親
	9999	無回答
rpchsl12	0	回答なし
	1	配偶者の兄弟姉妹
	9999	無回答
rpchcs12	0	回答なし
	1	子どもの配偶者
	9999	無回答
rpchor12	0	回答なし
	1	その他の親族
	9999	無回答
rpchfc12	0	回答なし
	1	友人や職場の同僚
	9999	無回答
rpchnb12	0	回答なし
	1	近所（地域）の人
	9999	無回答
rpchst12	0	回答なし
	1	専門家やサービス機関
	9999	無回答
rpchnt12	0	回答なし
	1	誰もいない
	9999	無回答
rpyinc12	1	収入はなかった
	2	１００万円未満
	3	１００～１２９万円台
	4	１３０～１９９万円台
	5	２００～２９９万円台
	6	３００～３９９万円台
	7	４００～４９９万円台
	8	５００～５９９万円台
	9	６００～６９９万円台
	10	７００～７９９万円台
	11	８００～８９９万円台
	12	９００～９９９万円台
	13	１０００～１０９９万円台
	14	１１００～１１９９万円台
	15	１２００～１２９９万円台
	16	１３００～１３９９万円台
	17	１４００～１４９９万円台
	18	１５００～１５９９万円台
	19	１６００万円以上
	9999	無回答
spyinc12	1	収入はなかった
	2	１００万円未満
	3	１００～１２９万円台
	4	１３０～１９９万円台
	5	２００～２９９万円台
	6	３００～３９９万円台
	7	４００～４９９万円台
	8	５００～５９９万円台
	9	６００～６９９万円台
	10	７００～７９９万円台
	11	８００～８９９万円台
	12	９００～９９９万円台
	13	１０００～１０９９万円台
	14	１１００～１１９９万円台
	15	１２００～１２９９万円台
	16	１３００～１３９９万円台
	17	１４００～１４９９万円台
	18	１５００～１５９９万円台
	19	１６００万円以上
	20	配偶者はいない
	9999	無回答
hhyinc12	1	収入はなかった
	2	１００万円未満
	3	１００～１２９万円台
	4	１３０～１９９万円台
	5	２００～２９９万円台
	6	３００～３９９万円台
	7	４００～４９９万円台
	8	５００～５９９万円台
	9	６００～６９９万円台
	10	７００～７９９万円台
	11	８００～８９９万円台
	12	９００～９９９万円台
	13	１０００～１０９９万円台
	14	１１００～１１９９万円台
	15	１２００～１２９９万円台
	16	１３００～１３９９万円台
	17	１４００～１４９９万円台
	18	１５００～１５９９万円台
	19	１６００万円以上
	9999	無回答
medcmt12	1	１月
	2	２月
	3	３月
	4	４月
	5	５月
	6	６月
	7	７月
	8	８月
	9	９月
	10	１０月
	11	１１月
	12	１２月
	9999	無回答
medcdy12	1	１日
	2	２日
	3	３日
	4	４日
	5	５日
	6	６日
	7	７日
	8	８日
	9	９日
	10	１０日
	11	１１日
	12	１２日
	13	１３日
	14	１４日
	15	１５日
	16	１６日
	17	１７日
	18	１８日
	19	１９日
	20	２０日
	21	２１日
	22	２２日
	23	２３日
	24	２４日
	25	２５日
	26	２６日
	27	２７日
	28	２８日
	29	２９日
	30	３０日
	31	３１日
	9999	無回答
spbtgg_2	1	明治
	2	大正
	3	昭和
	4	平成
	8888	非該当
	9999	無回答
spbtyr_2	1	１年
	2	２年
	3	３年
	4	４年
	5	５年
	6	６年
	7	７年
	8	８年
	9	９年
	10	１０年
	11	１１年
	12	１２年
	13	１３年
	14	１４年
	15	１５年
	16	１６年
	17	１７年
	18	１８年
	19	１９年
	20	２０年
	21	２１年
	22	２２年
	23	２３年
	24	２４年
	25	２５年
	26	２６年
	27	２７年
	28	２８年
	29	２９年
	30	３０年
	31	３１年
	32	３２年
	33	３３年
	34	３４年
	35	３５年
	36	３６年
	37	３７年
	38	３８年
	39	３９年
	40	４０年
	41	４１年
	42	４２年
	43	４３年
	44	４４年
	45	４５年
	46	４６年
	47	４７年
	48	４８年
	49	４９年
	50	５０年
	51	５１年
	52	５２年
	53	５３年
	54	５４年
	55	５５年
	56	５６年
	57	５７年
	58	５８年
	59	５９年
	60	６０年
	61	６１年
	62	６２年
	63	６３年
	64	６４年
	8888	非該当
	9999	無回答
spbtmt_2	1	１月
	2	２月
	3	３月
	4	４月
	5	５月
	6	６月
	7	７月
	8	８月
	9	９月
	10	１０月
	11	１１月
	12	１２月
	8888	非該当
	9999	無回答
spbtag_2	0	０歳
	1	１歳
	2	２歳
	3	３歳
	4	４歳
	5	５歳
	6	６歳
	7	７歳
	8	８歳
	9	９歳
	10	１０歳
	11	１１歳
	12	１２歳
	13	１３歳
	14	１４歳
	15	１５歳
	16	１６歳
	17	１７歳
	18	１８歳
	19	１９歳
	20	２０歳
	21	２１歳
	22	２２歳
	23	２３歳
	24	２４歳
	25	２５歳
	26	２６歳
	27	２７歳
	28	２８歳
	29	２９歳
	30	３０歳
	31	３１歳
	32	３２歳
	33	３３歳
	34	３４歳
	35	３５歳
	36	３６歳
	37	３７歳
	38	３８歳
	39	３９歳
	40	４０歳
	41	４１歳
	42	４２歳
	43	４３歳
	44	４４歳
	45	４５歳
	46	４６歳
	47	４７歳
	48	４８歳
	49	４９歳
	50	５０歳
	51	５１歳
	52	５２歳
	53	５３歳
	54	５４歳
	55	５５歳
	56	５６歳
	57	５７歳
	58	５８歳
	59	５９歳
	60	６０歳
	61	６１歳
	62	６２歳
	63	６３歳
	64	６４歳
	65	６５歳
	66	６６歳
	67	６７歳
	68	６８歳
	69	６９歳
	70	７０歳
	71	７１歳
	72	７２歳
	73	７３歳
	74	７４歳
	75	７５歳
	76	７６歳
	77	７７歳
	78	７８歳
	79	７９歳
	80	８０歳
	81	８１歳
	82	８２歳
	83	８３歳
	84	８４歳
	85	８５歳
	86	８６歳
	87	８７歳
	88	８８歳
	89	８９歳
	90	９０歳
	91	９１歳
	92	９２歳
	93	９３歳
	94	９４歳
	95	９５歳
	96	９６歳
	97	９７歳
	98	９８歳
	99	９９歳
	100	１００歳
	101	１０１歳
	102	１０２歳
	103	１０３歳
	104	１０４歳
	105	１０５歳
	106	１０６歳
	107	１０７歳
	108	１０８歳
	109	１０９歳
	110	１１０歳
	111	１１１歳
	112	１１２歳
	113	１１３歳
	114	１１４歳
	115	１１５歳
	116	１１６歳
	117	１１７歳
	118	１１８歳
	119	１１９歳
	120	１２０歳
	8888	非該当
	9999	無回答
spnlob_2	0	０人
	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	11	１１人
	12	１２人
	8888	非該当
	9999	無回答
spndob_2	0	０人
	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	11	１１人
	12	１２人
	8888	非該当
	9999	無回答
spnlos_2	0	０人
	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	11	１１人
	12	１２人
	8888	非該当
	9999	無回答
spndos_2	0	０人
	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	11	１１人
	12	１２人
	8888	非該当
	9999	無回答
spnlyb_2	0	０人
	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	11	１１人
	12	１２人
	8888	非該当
	9999	無回答
spndyb_2	0	０人
	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	11	１１人
	12	１２人
	8888	非該当
	9999	無回答
spnlys_2	0	０人
	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	11	１１人
	12	１２人
	8888	非該当
	9999	無回答
spndys_2	0	０人
	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	11	１１人
	12	１２人
	8888	非該当
	9999	無回答
spexdw_2	1	離別を経験している
	2	死別を経験している
	3	離別・死別の両方を経験している
	4	いずれもない
	8888	非該当
	9999	無回答
spedc_2	1	若年＝中学校／壮年・高年＝中学校（戦前の小学校〔尋常科・高等
	2	若年＝高校／壮年・高年＝高校（戦前の中学校・高等女学校・実業
	3	専門学校（高卒後）
	4	若年＝短大・高専／壮年・高年＝短大・高専（戦前の高校・専門学
	5	若年＝大学（４年制）／壮年・高年＝大学（４年制）（戦前の大学
	6	大学院・大学（６年制）
	7	その他
	8888	非該当
	9999	無回答
spocc_2	1	専門・技術系の職業
	2	管理的職業
	3	事務・営業系の職業
	4	販売・サービス系の職業
	5	技能・労務・作業系の職業
	6	農林漁業職
	7	その他
	8888	非該当
	9999	無回答
spfsz_2	1	１～９人
	2	１０～９９人
	3	１００～２９９人
	4	３００～４９９人
	5	５００～９９９人
	6	１０００人以上
	7	官公庁
	8	わからない
	8888	非該当
	9999	無回答
spcmhr_2	0	０時間
	1	１時間
	2	２時間
	3	３時間
	4	４時間
	5	５時間
	6	６時間
	7	７時間
	8	８時間
	9	９時間
	10	１０時間
	11	１１時間
	12	１２時間
	13	１３時間
	14	１４時間
	15	１５時間
	16	１６時間
	17	１７時間
	18	１８時間
	19	１９時間
	20	２０時間
	21	２１時間
	22	２２時間
	23	２３時間
	24	２４時間
	8888	非該当
	9999	無回答
spcmmi_2	0	０分
	1	１分
	2	２分
	3	３分
	4	４分
	5	５分
	6	６分
	7	７分
	8	８分
	9	９分
	10	１０分
	11	１１分
	12	１２分
	13	１３分
	14	１４分
	15	１５分
	16	１６分
	17	１７分
	18	１８分
	19	１９分
	20	２０分
	21	２１分
	22	２２分
	23	２３分
	24	２４分
	25	２５分
	26	２６分
	27	２７分
	28	２８分
	29	２９分
	30	３０分
	31	３１分
	32	３２分
	33	３３分
	34	３４分
	35	３５分
	36	３６分
	37	３７分
	38	３８分
	39	３９分
	40	４０分
	41	４１分
	42	４２分
	43	４３分
	44	４４分
	45	４５分
	46	４６分
	47	４７分
	48	４８分
	49	４９分
	50	５０分
	51	５１分
	52	５２分
	53	５３分
	54	５４分
	55	５５分
	56	５６分
	57	５７分
	58	５８分
	59	５９分
	8888	非該当
	9999	無回答
flbtgg_2	1	明治
	2	大正
	3	昭和
	4	平成
	9	わからない
	8888	非該当
	9999	無回答
flbtyr_2	1	１年
	2	２年
	3	３年
	4	４年
	5	５年
	6	６年
	7	７年
	8	８年
	9	９年
	10	１０年
	11	１１年
	12	１２年
	13	１３年
	14	１４年
	15	１５年
	16	１６年
	17	１７年
	18	１８年
	19	１９年
	20	２０年
	21	２１年
	22	２２年
	23	２３年
	24	２４年
	25	２５年
	26	２６年
	27	２７年
	28	２８年
	29	２９年
	30	３０年
	31	３１年
	32	３２年
	33	３３年
	34	３４年
	35	３５年
	36	３６年
	37	３７年
	38	３８年
	39	３９年
	40	４０年
	41	４１年
	42	４２年
	43	４３年
	44	４４年
	45	４５年
	46	４６年
	47	４７年
	48	４８年
	49	４９年
	50	５０年
	51	５１年
	52	５２年
	53	５３年
	54	５４年
	55	５５年
	56	５６年
	57	５７年
	58	５８年
	59	５９年
	60	６０年
	61	６１年
	62	６２年
	63	６３年
	64	６４年
	8888	非該当
	9999	無回答
flsl_2	1	健在
	2	結婚前に死亡
	3	結婚後に死亡
	4	死亡（結婚の前か後かは不明）
	8888	非該当
	9999	無回答
mlbtgg_2	1	明治
	2	大正
	3	昭和
	4	平成
	9	わからない
	8888	非該当
	9999	無回答
mlbtyr_2	1	１年
	2	２年
	3	３年
	4	４年
	5	５年
	6	６年
	7	７年
	8	８年
	9	９年
	10	１０年
	11	１１年
	12	１２年
	13	１３年
	14	１４年
	15	１５年
	16	１６年
	17	１７年
	18	１８年
	19	１９年
	20	２０年
	21	２１年
	22	２２年
	23	２３年
	24	２４年
	25	２５年
	26	２６年
	27	２７年
	28	２８年
	29	２９年
	30	３０年
	31	３１年
	32	３２年
	33	３３年
	34	３４年
	35	３５年
	36	３６年
	37	３７年
	38	３８年
	39	３９年
	40	４０年
	41	４１年
	42	４２年
	43	４３年
	44	４４年
	45	４５年
	46	４６年
	47	４７年
	48	４８年
	49	４９年
	50	５０年
	51	５１年
	52	５２年
	53	５３年
	54	５４年
	55	５５年
	56	５６年
	57	５７年
	58	５８年
	59	５９年
	60	６０年
	61	６１年
	62	６２年
	63	６３年
	64	６４年
	8888	非該当
	9999	無回答
mlsl_2	1	健在
	2	結婚前に死亡
	3	結婚後に死亡
	4	死亡（結婚の前か後かは不明）
	8888	非該当
	9999	無回答
flplc_2	1	同じ建物内（玄関も同じ）
	2	同じ建物内（玄関は別）
	3	同じ敷地内の別棟
	4	１５分未満
	5	１５分～３０分未満
	6	３０分～６０分未満
	7	１時間～３時間未満
	8	３時間以上
	8888	非該当
	9999	無回答
flcvy_2	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくなかった
	8888	非該当
	9999	無回答
flrlt_2	1	良好
	2	どちらかといえば良好
	3	どちらかといえば悪い
	4	悪い
	8888	非該当
	9999	無回答
mlplc_2	1	同じ建物内（玄関も同じ）
	2	同じ建物内（玄関は別）
	3	同じ敷地内の別棟
	4	１５分未満
	5	１５分～３０分未満
	6	３０分～６０分未満
	7	１時間～３時間未満
	8	３時間以上
	8888	非該当
	9999	無回答
mlcvy_2	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくなかった
	8888	非該当
	9999	無回答
mlrlt_2	1	良好
	2	どちらかといえば良好
	3	どちらかといえば悪い
	4	悪い
	8888	非該当
	9999	無回答
newwed12	0	配布なし
	1	配布-回収
	2	配布-非回収
	3	配布取り止め（新婚でないと判断）
metpq13	1	有配偶票（w2-4）
	2	有配偶票（w2-4）
	3	若年票（w1）
	4	壮年票（w1）
	5	高年票（w1）
	6	共通票（w5）
rppref13	1	北海道
	2	青森県
	3	岩手県
	4	宮城県
	5	秋田県
	6	山形県
	7	福島県
	8	茨城県
	9	栃木県
	10	群馬県
	11	埼玉県
	12	千葉県
	13	東京都
	14	神奈川県
	15	新潟県
	16	富山県
	17	石川県
	18	福井県
	19	山梨県
	20	長野県
	21	岐阜県
	22	静岡県
	23	愛知県
	24	三重県
	25	滋賀県
	26	京都府
	27	大阪府
	28	兵庫県
	29	奈良県
	30	和歌山県
	31	鳥取県
	32	島根県
	33	岡山県
	34	広島県
	35	山口県
	36	徳島県
	37	香川県
	38	愛媛県
	39	高知県
	40	福岡県
	41	佐賀県
	42	長崎県
	43	熊本県
	44	大分県
	45	宮崎県
	46	鹿児島県
	47	沖縄県
	99	海外
rpctsz13	1	２１大市
	2	１０万人以上の市
	3	その他
	9	海外
rpdid13	1	人口集中地区
	2	非人口集中地区
	9	海外
rpsex13	1	男性
	2	女性
	9999	無回答
rpbtyr13	1	１年
	2	２年
	3	３年
	4	４年
	5	５年
	6	６年
	7	７年
	8	８年
	9	９年
	10	１０年
	11	１１年
	12	１２年
	13	１３年
	14	１４年
	15	１５年
	16	１６年
	17	１７年
	18	１８年
	19	１９年
	20	２０年
	21	２１年
	22	２２年
	23	２３年
	24	２４年
	25	２５年
	26	２６年
	27	２７年
	28	２８年
	29	２９年
	30	３０年
	31	３１年
	32	３２年
	33	３３年
	34	３４年
	35	３５年
	36	３６年
	37	３７年
	38	３８年
	39	３９年
	40	４０年
	41	４１年
	42	４２年
	43	４３年
	44	４４年
	45	４５年
	46	４６年
	47	４７年
	48	４８年
	49	４９年
	50	５０年
	51	５１年
	52	５２年
	53	５３年
	54	５４年
	55	５５年
	56	５６年
	9999	無回答
rpbtmt13	1	１月
	2	２月
	3	３月
	4	４月
	5	５月
	6	６月
	7	７月
	8	８月
	9	９月
	10	１０月
	11	１１月
	12	１２月
	9999	無回答
rpage13	1	１歳
	2	２歳
	3	３歳
	4	４歳
	5	５歳
	6	６歳
	7	７歳
	8	８歳
	9	９歳
	10	１０歳
	11	１１歳
	12	１２歳
	13	１３歳
	14	１４歳
	15	１５歳
	16	１６歳
	17	１７歳
	18	１８歳
	19	１９歳
	20	２０歳
	21	２１歳
	22	２２歳
	23	２３歳
	24	２４歳
	25	２５歳
	26	２６歳
	27	２７歳
	28	２８歳
	29	２９歳
	30	３０歳
	31	３１歳
	32	３２歳
	33	３３歳
	34	３４歳
	35	３５歳
	36	３６歳
	37	３７歳
	38	３８歳
	39	３９歳
	40	４０歳
	41	４１歳
	42	４２歳
	43	４３歳
	44	４４歳
	45	４５歳
	46	４６歳
	47	４７歳
	48	４８歳
	49	４９歳
	50	５０歳
	51	５１歳
	52	５２歳
	53	５３歳
	54	５４歳
	55	５５歳
	56	５６歳
	57	５７歳
	58	５８歳
	59	５９歳
	60	６０歳
	61	６１歳
	62	６２歳
	63	６３歳
	64	６４歳
	65	６５歳
	66	６６歳
	67	６７歳
	68	６８歳
	69	６９歳
	70	７０歳
	71	７１歳
	72	７２歳
	73	７３歳
	74	７４歳
	75	７５歳
	76	７６歳
	77	７７歳
	78	７８歳
	79	７９歳
	80	８０歳
	9999	無回答
rpafm113	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpafm213	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpafm313	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpafm413	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpafm513	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpafm613	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpafm713	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpafm813	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpafm913	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpevl113	0	回答なし
	1	引っ越しをした
	9999	無回答
rpevl213	0	回答なし
	1	持ち家を購入したり相続したりした
	9999	無回答
rpevl313	0	回答なし
	1	あなたが定年をむかえた
	9999	無回答
rpevl413	0	回答なし
	1	配偶者が定年をむかえた
	9999	無回答
rpevl513	0	回答なし
	1	新しい子どもができた（養子や再婚による場合を含む）
	9999	無回答
rpevl613	0	回答なし
	1	孫が産まれた
	9999	無回答
rpevl713	0	回答なし
	1	あなたが離婚した
	9999	無回答
rpevl813	0	回答なし
	1	配偶者が亡くなった
	9999	無回答
rpevl913	0	回答なし
	1	あなたの親が亡くなった
	9999	無回答
rpevla13	0	回答なし
	1	配偶者の親が亡くなった
	9999	無回答
rpevlb13	0	回答なし
	1	あなたの子どもが亡くなった
	9999	無回答
rpevlc13	0	回答なし
	1	その他の家族や親類が亡くなった
	9999	無回答
rpevld13	0	回答なし
	1	あてはまるものはない
	9999	無回答
rpevln13	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	8888	非該当
	9999	無回答
rpevc113	0	回答なし
	1	引っ越しをした
	9999	無回答
rpevc213	0	回答なし
	1	持ち家を購入したり相続したりした
	9999	無回答
rpevc313	0	回答なし
	1	あなたが定年をむかえた
	9999	無回答
rpevc413	0	回答なし
	1	配偶者が定年をむかえた
	9999	無回答
rpevc513	0	回答なし
	1	新しい子どもができた（養子や再婚による場合を含む）
	9999	無回答
rpevc613	0	回答なし
	1	孫が産まれた
	9999	無回答
rpevc713	0	回答なし
	1	あなたが離婚した
	9999	無回答
rpevc813	0	回答なし
	1	配偶者が亡くなった
	9999	無回答
rpevc913	0	回答なし
	1	あなたの親が亡くなった
	9999	無回答
rpevca13	0	回答なし
	1	配偶者の親が亡くなった
	9999	無回答
rpevcb13	0	回答なし
	1	あなたの子どもが亡くなった
	9999	無回答
rpevcc13	0	回答なし
	1	その他の家族や親類が亡くなった
	9999	無回答
rpevcd13	0	回答なし
	1	あてはまるものはない
	9999	無回答
rpevcn13	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	8888	非該当
	9999	無回答
rpevx113	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx213	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx313	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx413	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx513	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx613	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx713	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx813	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx913	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevxa13	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevxb13	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevxc13	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpwkst13	1	ついている
	2	ついているが休職中
	3	ついていないが仕事を探している（w2-4）
	4	ついていない（仕事は探していない）（w2-4）
	5	今はついていないが、過去についていた（w1）
	6	仕事についたことはない（w1）
	7	仕事を探しているかは不明だが無職（追加コード）
	9999	無回答
rpwkdy13	0	０日
	1	１日
	2	２日
	3	３日
	4	４日
	5	５日
	6	６日
	7	７日
	8	８日
	9	９日
	10	１０日
	11	１１日
	12	１２日
	13	１３日
	14	１４日
	15	１５日
	16	１６日
	17	１７日
	18	１８日
	19	１９日
	20	２０日
	21	２１日
	22	２２日
	23	２３日
	24	２４日
	25	２５日
	26	２６日
	27	２７日
	28	２８日
	8888	非該当
	9999	無回答
rpwkhr13	0	０時間
	1	１時間
	2	２時間
	3	３時間
	4	４時間
	5	５時間
	6	６時間
	7	７時間
	8	８時間
	9	９時間
	10	１０時間
	11	１１時間
	12	１２時間
	13	１３時間
	14	１４時間
	15	１５時間
	16	１６時間
	17	１７時間
	18	１８時間
	19	１９時間
	20	２０時間
	21	２１時間
	22	２２時間
	23	２３時間
	24	２４時間
	8888	非該当
	9999	無回答
rpwkmi13	0	０分
	1	１分
	2	２分
	3	３分
	4	４分
	5	５分
	6	６分
	7	７分
	8	８分
	9	９分
	10	１０分
	11	１１分
	12	１２分
	13	１３分
	14	１４分
	15	１５分
	16	１６分
	17	１７分
	18	１８分
	19	１９分
	20	２０分
	21	２１分
	22	２２分
	23	２３分
	24	２４分
	25	２５分
	26	２６分
	27	２７分
	28	２８分
	29	２９分
	30	３０分
	31	３１分
	32	３２分
	33	３３分
	34	３４分
	35	３５分
	36	３６分
	37	３７分
	38	３８分
	39	３９分
	40	４０分
	41	４１分
	42	４２分
	43	４３分
	44	４４分
	45	４５分
	46	４６分
	47	４７分
	48	４８分
	49	４９分
	50	５０分
	51	５１分
	52	５２分
	53	５３分
	54	５４分
	55	５５分
	56	５６分
	57	５７分
	58	５８分
	59	５９分
	8888	非該当
	9999	無回答
rpwlb113	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	ほとんどあてはまらない
	8888	非該当
	9999	無回答
rpwlb213	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	ほとんどあてはまらない
	8888	非該当
	9999	無回答
rpwlb313	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	ほとんどあてはまらない
	8888	非該当
	9999	無回答
rpwlb413	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	ほとんどあてはまらない
	8888	非該当
	9999	無回答
rpcjb13	1	新しい勤め先に就職・転職した（出向などを含む）
	2	同じ勤め先で、働き方（常時雇用・パートなど）や勤務地が変わっ
	3	そのような変化はない
	8888	非該当
	9999	無回答
rpest13	1	経営者・役員
	2	常時雇用されている一般従業者（公務員を含む）
	3	臨時雇い・パート・アルバイト
	4	派遣社員・契約社員・嘱託社員
	5	自営業主・自由業者
	6	自営業の家族従業者
	7	内職
	8888	非該当
	9999	無回答
rpmrst13	1	現在、配偶者がいる
	2	いない（離別した）
	3	いない（死別した）
	4	いない（結婚したことはない）
	9999	無回答
spwkst13	1	ついている
	2	ついているが休職中
	3	ついていないが仕事を探している（w2-4）
	4	ついていない（仕事は探していない）（w2-4）
	5	今はついていないが、過去についていた（w1）
	6	仕事についたことはない（w1）
	7	仕事を探しているかは不明だが無職（追加コード）
	8888	非該当
	9999	無回答
spwkdy13	0	０日
	1	１日
	2	２日
	3	３日
	4	４日
	5	５日
	6	６日
	7	７日
	8	８日
	9	９日
	10	１０日
	11	１１日
	12	１２日
	13	１３日
	14	１４日
	15	１５日
	16	１６日
	17	１７日
	18	１８日
